X,Y,OBJECTID,id,名称,名称よみ,別名,親施設ＩＤ,親施設名称,住所,経度,緯度,URL,更新日
139.618592,35.350297999109351,5,F7060,能見堂跡,ノウケンドウアト,,,,,139.618592,35.350298,,2013-04-01T00:00:00.000Z
139.630324,35.368400999109156,6,K7006,旧川合玉堂別邸,キュウカワイギョクドウベッテイ,二松庵,,,神奈川県横浜市金沢区富岡東5ー19ー22,139.630324,35.368401,http://www.city.yokohama.lg.jp/kanazawa/kusei/kikaku/gyokudo/,2013-04-01T00:00:00.000Z
139.630351,35.344272999109386,8,K7008,称名寺,ショウミョウジ,,,,神奈川県横浜市金沢区金沢町212番地1,139.630351,35.344273,http://www.city.yokohama.lg.jp/kyoiku/bunkazai/sekai/shoumyouji.html,2013-04-01T00:00:00.000Z
139.629986,35.345138999109409,11,F7066,称名寺市民の森,ショウミョウジシミンノモリ,,,,,139.629986,35.345139,http://www.city.yokohama.lg.jp/kankyo/green/shiminnomori/shimin-shoumyouji.html,2013-04-01T00:00:00.000Z
139.598486,35.340088999109426,12,F7067,関ヶ谷市民の森,セキガヤシミンノモリ,,,,,139.598486,35.340089,http://www.city.yokohama.lg.jp/kankyo/green/shiminnomori/shimin-sekigaya.html,2013-04-01T00:00:00.000Z
139.650435,35.362263999109189,14,K7014,リネツ金沢,リネツカナザワ,,,,神奈川県横浜市金沢区幸浦2-7-1,139.650435,35.362264,http://www.yspc.or.jp/kanazawa_p_ysa/,2013-04-01T00:00:00.000Z
139.636252,35.383049999108962,15,K7015,横浜市中央卸売市場・南部市場,ヨコハマシチュウオウオロシウリシジョウ・ナンブイチバ,,,,神奈川県横浜市金沢区鳥浜町1-1,139.636252,35.38305,http://www.s-nakaorosi.or.jp/,2013-04-01T00:00:00.000Z
139.647861,35.380389999108992,17,K7017,横浜ベイサイドマリーナ,ヨコハマベイサイドマリーナ,,,,神奈川県横浜市金沢区白帆1,139.647861,35.38039,http://www.ybmarina.com/,2013-04-01T00:00:00.000Z
139.644427,35.336833999109501,18,K7018,横浜・八景島シーパラダイス,ヨコハマ・ハッケイジマシーパラダイス,,,,神奈川県横浜市金沢区八景島,139.644427,35.336834,http://www.seaparadise.co.jp/,2013-04-01T00:00:00.000Z
139.646358,35.379567999109021,19,K7019,三井アウトレットパーク　横浜ベイサイド,ミツイアウトレットパーク　ヨコハマベイサイド,,,,神奈川県横浜市金沢区白帆5-2,139.646358,35.379568,http://www.31op.com/yokohama/,2013-04-01T00:00:00.000Z
